92.1623,-187.253,-985.702
76.08,-213.28,-989.063

97.7743,-189.415,-964.941
79.1235,-216.844,-970.776

108.794,-200.915,-937.431
74.469,-217.039,-949.707

124.148,-219.778,-918.395
91.572,-227.99,-922.873

124.575,-212.833,-909.231
92.844,-230.686,-894.338

135.232,-216.194,-895.139
75.7237,-225.569,-886.428

137.464,-218.837,-886.477
60.3169,-189.241,-871.221

133.19,-220.211,-870.726
57.429,-197.229,-879.919

143.971,-206.737,-875.426
90.3265,-202.257,-855.328

141.954,-193.03,-875.864
57.7613,-188.122,-859.329

140.23,-184.32,-868.346
66.6871,-179.328,-874.036
